"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"218",457705,"Andrew McCutchen","1998","10.91","0.394","0.353","0.337","0.748","0.483","0.419","0.352","86","218","89.0","14.1","2207","89.6","89.19","0","218","0","-0.4","6.02","107","152","114","146","304","319","295"
"101",591741,"Jose Osuna","705","14.33","0.366","0.307","0.333","0.673","0.440","0.393","0.347","37","101","88.4","7.5","2131","88.7","88.16","0","101","0","-0.5","5.99","108","150","114","146","304","316","291"
"222",543281,"Josh Harrison","1846","12.03","0.360","0.212","0.333","0.572","0.400","0.364","0.329","80","222","86.0","15.4","2190","88.5","88.06","0","222","0","-0.4","6.02","106","150","101","145","300","314","289"
"207",605137,"Josh Bell","1919","10.79","0.343","0.324","0.288","0.667","0.426","0.408","0.357","71","207","89.2","10.0","2124","89.2","88.77","0","207","0","-0.4","6.03","114","150","114","149","299","318","298"
"131",465041,"Francisco Cervelli","1207","10.85","0.336","0.107","0.331","0.443","0.340","0.348","0.328","44","131","86.6","5.9","2213","88.8","88.44","0","131","0","-0.4","5.97","109","150","109","146","300","315","289"
"200",474568,"Jordy Mercer","1819","11.00","0.335","0.230","0.307","0.565","0.384","0.354","0.322","67","200","86.8","10.8","2171","89.3","88.94","0","200","0","-0.4","6.00","107","150","110","147","301","314","286"
"43",553869,"Elias Diaz","389","11.05","0.326","0.116","0.310","0.442","0.335","0.307","0.282","14","43","84.4","4.4","2074","87.0","86.85","0","43","0","-0.2","6.03","109","149","114","146","302","313","288"
"176",624428,"Adam Frazier","1368","12.87","0.324","0.108","0.312","0.432","0.330","0.346","0.335","57","176","86.0","9.3","2145","89.0","88.49","0","176","0","-0.5","5.94","114","148","97","148","287","311","295"
"78",516782,"Starling Marte","770","10.13","0.321","0.115","0.303","0.436","0.330","0.363","0.323","25","78","82.8","7.4","2232","89.2","88.64","0","78","0","-0.6","5.95","105","150","101","146","301","316","289"
"140",501896,"David Freese","1583","8.84","0.307","0.150","0.276","0.457","0.331","0.356","0.323","43","140","89.4","1.8","2185","88.7","88.15","0","140","0","-0.5","5.98","109","150","114","147","304","319","292"
"170",570256,"Gregory Polanco","1340","12.69","0.306","0.194","0.276","0.500","0.345","0.333","0.302","52","170","86.6","14.4","2169","89.4","88.99","0","170","0","-0.4","6.04","115","150","109","150","298","318","298"
"96",444379,"John Jaso","1096","8.76","0.302","0.271","0.264","0.573","0.369","0.399","0.334","29","96","87.3","21.9","2184","90.1","89.84","0","96","0","-0.3","6.09","116","153","113","151","294","314","295"
"32",593700,"Alen Hanson","206","15.53","0.250","0.125","0.250","0.375","0.269","0.295","0.291","8","32","85.9","10.7","2094","89.4","88.87","0","32","0","-0.5","6.02","106","148","95","148","292","306","287"
"47",455755,"Chris Stewart","438","10.73","0.191","0.043","0.191","0.234","0.187","0.246","0.244","9","47","83.2","9.9","2211","91.2","90.88","0","47","0","-0.3","6.08","108","151","111","148","299","306","280"
