"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"151",624428,"Adam Frazier","1368","11.04","0.238","0.119","0.324","0.358","0.257","0.231","0.220","36","151","84.3","8.4","2204","87.9","87.41","30","139","12","-0.5","5.94","119","149","111","148","282","308","296"
"99",516782,"Starling Marte","770","12.86","0.232","0.081","0.361","0.313","0.238","0.206","0.200","23","99","80.6","10.9","2291","88.7","88.19","28","90","9","-0.5","6.02","110","151","113","147","299","314","288"
"178",501896,"David Freese","1583","11.24","0.230","0.096","0.409","0.326","0.242","0.225","0.203","41","178","89.2","3.9","2210","89.8","89.59","58","154","24","-0.2","6.07","111","151","115","147","304","317","289"
"57",455755,"Chris Stewart","438","13.01","0.211","0.053","0.308","0.263","0.208","0.206","0.204","12","57","83.2","8.5","2149","88.9","88.46","9","48","9","-0.4","5.97","109","150","114","147","294","306","275"
"152",570256,"Gregory Polanco","1340","11.34","0.197","0.105","0.267","0.303","0.215","0.201","0.187","30","152","86.2","12.0","2212","88.7","88.25","41","145","7","-0.5","6.02","117","151","123","150","295","317","297"
"46",553869,"Elias Diaz","389","11.83","0.196","0.109","0.310","0.304","0.214","0.215","0.205","9","46","90.0","11.9","2222","87.7","87.01","12","41","5","-0.7","5.90","108","148","113","147","298","310","283"
"217",543281,"Josh Harrison","1846","11.76","0.189","0.088","0.269","0.276","0.202","0.185","0.180","41","217","80.4","14.6","2241","88.9","88.35","68","207","10","-0.5","5.99","110","152","112","147","300","313","287"
"212",457705,"Andrew McCutchen","1998","10.61","0.175","0.085","0.268","0.259","0.188","0.211","0.193","37","212","86.7","13.5","2220","89.0","88.53","65","192","20","-0.5","5.99","108","151","114","145","302","317","291"
"207",605137,"Josh Bell","1919","10.79","0.174","0.130","0.274","0.304","0.203","0.188","0.168","36","207","87.3","8.5","2174","89.3","88.92","64","185","22","-0.4","6.04","117","151","118","149","296","316","296"
"205",474568,"Jordy Mercer","1819","11.27","0.171","0.073","0.242","0.244","0.180","0.173","0.168","35","205","83.0","6.2","2262","88.7","88.16","48","183","22","-0.5","5.96","110","150","113","146","300","313","285"
"134",465041,"Francisco Cervelli","1207","11.10","0.164","0.134","0.277","0.299","0.196","0.182","0.161","22","134","87.1","6.2","2272","88.1","87.63","47","116","18","-0.5","5.99","110","152","113","147","302","314","286"
"125",444379,"John Jaso","1096","11.41","0.152","0.112","0.239","0.264","0.177","0.183","0.159","19","125","85.2","13.6","2220","87.8","87.24","45","115","10","-0.6","5.95","118","154","124","152","290","314","295"
"40",547912,"Gift Ngoepe","282","14.18","0.150","0.075","0.429","0.225","0.161","0.109","0.108","6","40","75.5","-6.1","2247","88.9","88.18","22","36","4","-0.7","5.91","109","149","111","146","302","310","279"
"83",591741,"Jose Osuna","705","11.77","0.120","0.096","0.173","0.217","0.143","0.167","0.163","10","83","86.7","9.6","2203","87.5","86.87","25","78","5","-0.6","5.94","109","150","114","146","305","316","288"
"39",621559,"Max Moroff","320","12.19","0.103","0.026","0.235","0.128","0.101","0.120","0.120","4","39","81.2","8.0","2238","87.8","87.41","19","36","3","-0.4","6.09","114","150","113","148","291","309","291"
"31",467100,"Ivan Nova","176","17.61","0.000","0.000","0.000","0.000","0.000","0.014","0.023","0","31","67.0","-4.9","2323","85.9","85.09","20","24","4","-0.8","5.81","112","147","107","145","291","295","265"
